animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-measurements,deploy-on-timestamp,deployment-comments,deployment-end-type,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
L929451,,RBOM,m,Larus fuscus,LBBG_JUVENILE,juvenile,,harness,2021-08-21T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,210185,Ornitela,15,210185
L929459,,RZOR,f,Larus fuscus,LBBG_JUVENILE,juvenile,,harness,2021-09-15T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,210186,Ornitela,15,210186
L933030,,,u,Larus fuscus,LBBG_JUVENILE,juvenile,,harness,2021-09-19T00:00:00Z,,2021-08-19T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,210187,Ornitela,15,210187
H911430,,,u,Larus argentatus,LBBG_JUVENILE,juvenile,,harness,2021-08-24T18:00:00Z,,2021-08-19T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,210188,Ornitela,15,210188
L929942,,RPOK,f,Larus fuscus,LBBG_JUVENILE,juvenile,,harness,2021-09-24T00:00:00Z,,2021-08-08T18:00:00Z,"Bird dead, tracker recovered.",dead,none,RAVERSIJDE,phone network,GPS,210189,Ornitela,15,210189
L929464,,RWOK,f,Larus fuscus,LBBG_JUVENILE,juvenile,,harness,2021-11-03T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,210190,Ornitela,15,210190
L929936,,RLOP,m,Larus fuscus,LBBG_JUVENILE,juvenile,,harness,2021-12-10T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,210191,Ornitela,15,210191
H911436,,,u,Larus argentatus,LBBG_JUVENILE,juvenile,,harness,2021-09-19T00:00:00Z,,2021-08-19T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,210192,Ornitela,15,210192
H911406,,,u,Larus argentatus,LBBG_JUVENILE,juvenile,,harness,2022-02-01T00:00:00Z,,2021-08-19T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,210193,Ornitela,15,210193
L929940,,RV.OJ,f,Larus fuscus,LBBG_JUVENILE,juvenile,656,harness,2022-03-04T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212709,Ornitela,15,212709
L929455,,RN.OB,m,Larus fuscus,LBBG_JUVENILE,juvenile,763,harness,2021-09-12T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212710,Ornitela,15,212710
L929915,,RTO.S,f,Larus fuscus,LBBG_JUVENILE,juvenile,648,harness,2022-05-12T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212711,Ornitela,15,212711
L929933,,RJ.OR,m,Larus fuscus,LBBG_JUVENILE,juvenile,800,harness,2022-01-10T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212712,Ornitela,15,212712
L933048,,RC.OU,u,Larus fuscus,LBBG_JUVENILE,juvenile,661,harness,2021-09-01T00:00:00Z,,2021-08-19T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212713,Ornitela,15,212713
L929906,,RH.OB,f,Larus fuscus,LBBG_JUVENILE,juvenile,604,harness,2021-09-19T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212714,Ornitela,15,212714
L929423,,R.MOC,f,Larus fuscus,LBBG_JUVENILE,juvenile,589,harness,,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212715,Ornitela,15,212715
L929914,,RRO.S,f,Larus fuscus,LBBG_JUVENILE,juvenile,671,harness,2021-08-25T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212716,Ornitela,15,212716
L929467,,RN.OF,m,Larus fuscus,LBBG_JUVENILE,juvenile,828,harness,2021-11-18T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212717,Ornitela,15,212717
L929910,,RAO.S,m,Larus fuscus,LBBG_JUVENILE,juvenile,801,harness,2021-10-31T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212718,Ornitela,15,212718
L929911,,RN.OU,m,Larus fuscus,LBBG_JUVENILE,juvenile,814,harness,2021-08-28T00:00:00Z,,2021-08-08T18:00:00Z,Tracker recovered.,,none,RAVERSIJDE,phone network,GPS,212719,Ornitela,15,212719
L929908,,RB.OR,m,Larus fuscus,LBBG_JUVENILE,juvenile,807,harness,,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212720,Ornitela,15,212720
L929943,,RW.OM,f,Larus fuscus,LBBG_JUVENILE,juvenile,549,harness,2021-11-08T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212721,Ornitela,15,212721
L929466,,RRO.K,f,Larus fuscus,LBBG_JUVENILE,juvenile,666,harness,2021-08-31T00:00:00Z,,2021-08-08T18:00:00Z,Tracker recovered.,,none,RAVERSIJDE,phone network,GPS,212722,Ornitela,15,212722
L929941,,R.POT,m,Larus fuscus,LBBG_JUVENILE,juvenile,,harness,2021-09-20T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212723,Ornitela,15,212723
L929453,,R.WOT,m,Larus fuscus,LBBG_JUVENILE,juvenile,821,harness,2021-09-14T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212724,Ornitela,15,212724
L929922,,RL.OU,m,Larus fuscus,LBBG_JUVENILE,juvenile,792,harness,2021-08-22T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212725,Ornitela,15,212725
L929938,,RT.OM,f,Larus fuscus,LBBG_JUVENILE,juvenile,646,harness,,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212726,Ornitela,15,212726
L929470,,RW.OR,m,Larus fuscus,LBBG_JUVENILE,juvenile,797,harness,2021-11-12T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212727,Ornitela,15,212727
L929912,,RP.OU,m,Larus fuscus,LBBG_JUVENILE,juvenile,792,harness,2021-11-26T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212728,Ornitela,15,212728
L929905,,R.MOZ,m,Larus fuscus,LBBG_JUVENILE,juvenile,696,harness,,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212729,Ornitela,15,212729
L929460,,R.KOW,m,Larus fuscus,LBBG_JUVENILE,juvenile,668,harness,2022-02-21T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212730,Ornitela,15,212730
L929907,,RDO.S,m,Larus fuscus,LBBG_JUVENILE,juvenile,813,harness,2021-11-14T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212731,Ornitela,15,212731
L929452,,RK.OR,m,Larus fuscus,LBBG_JUVENILE,juvenile,726,harness,2022-01-06T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212732,Ornitela,15,212732
L929456,,RKO.V,m,Larus fuscus,LBBG_JUVENILE,juvenile,808,harness,2021-08-20T00:00:00Z,,2021-08-08T18:00:00Z,Tracker recovered.,,none,RAVERSIJDE,phone network,GPS,212733,Ornitela,15,212733
L929909,,R.DOP,f,Larus fuscus,LBBG_JUVENILE,juvenile,654,harness,2022-01-06T00:00:00Z,,2021-08-08T18:00:00Z,,,none,RAVERSIJDE,phone network,GPS,212734,Ornitela,15,212734
