animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-timestamp,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-firmware,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
5460531,,FARB,f,Larus fuscus,LBBG_TEXEL,adult,740,harness,2014-06-02T00:00:00Z,53.0083667,4.7168333,,2012-06-05T00:00:00Z,dead,321,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,608,UvA-BiTS,18.9,608
5460533,,FARD,f,Larus fuscus,LBBG_TEXEL,adult,650,harness,2016-07-21T23:59:00Z,53.0092667,4.7177333,,2012-06-05T00:00:00Z,,322,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,606,UvA-BiTS,18.9,606
5460530,,FARA,f,Larus fuscus,LBBG_TEXEL,adult,735,harness,2020-05-28T00:00:00Z,53.0094667,4.7179,,2012-06-05T00:00:00Z,,323,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,757,UvA-BiTS,18.7,757
5416151,,FAJB,f,Larus fuscus,LBBG_TEXEL,adult,765,harness,2020-01-01T00:00:00Z,53.0094833,4.71805,,2012-05-28T00:00:00Z,,324,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,754,UvA-BiTS,18.7,754
5460529,,FANZ,f,Larus fuscus,LBBG_TEXEL,adult,715,harness,2012-06-15T00:00:00Z,53.0084167,4.7167167,,2012-06-05T00:00:00Z,,325,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,752,UvA-BiTS,18.8,752
5460542,,MART,m,Larus fuscus,LBBG_TEXEL,adult,970,harness,2012-06-15T00:00:00Z,53.00923,4.71779,,2012-06-08T11:55:00Z,,337,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,798,UvA-BiTS,16.7,798
5460295,,MAMW,m,Larus fuscus,LBBG_TEXEL,adult,1015,harness,2013-06-03T00:00:00Z,53.0094833,4.71805,,2012-06-08T13:39:00Z,dead,338,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,781,UvA-BiTS,16.6,781
5460543,,FARK,f,Larus fuscus,LBBG_TEXEL,adult,745,harness,2014-06-24T00:00:00Z,53.00916,4.71812,,2012-06-08T12:30:00Z,,339,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,782,UvA-BiTS,16.3,782
5462685,,MAPJ,m,Larus fuscus,LBBG_TEXEL,adult,880,harness,2011-08-03T00:00:00Z,53.0082333,4.7182333,,2011-05-21T00:00:00Z,,362,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,535,UvA-BiTS,18.8,535
5471389,,MASJ,m,Larus fuscus,LBBG_TEXEL,adult,990,harness,2018-06-03T11:35:00Z,53.0093,4.7177833,,2013-06-06T11:13:00Z,,558,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,805,UvA-BiTS,16.8,805
